PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,SOORT DIPLOMA,2011 MAN,2011 VROUW,2012 MAN,2012 VROUW,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),66980,M Mathematics,voltijd onderwijs,master,wo master,13,0,9,1,8,6,8,6,17,6
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),66981,M Artificial Intelligence,voltijd onderwijs,master,wo master,6,2,8,3,5,2,9,3,8,4
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),66982,M Science,voltijd onderwijs,master,wo master,7,5,8,4,4,5,1,1,8,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),66984,M Physics and Astronomy,voltijd onderwijs,master,wo master,9,5,12,4,11,5,18,5,17,9
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,natuur,n.v.t. (natuur),69304,M Moleculaire Levenswetenschappen,voltijd onderwijs,master,wo master,10,10,19,14,12,13,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68500,M Leraar Voorbereidend Hoger Onderwijs in Aardrijkskunde,deeltijd onderwijs,master,wo postmaster,0,1,1,1,0,2,3,0,0,3
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68500,M Leraar Voorbereidend Hoger Onderwijs in Aardrijkskunde,voltijd onderwijs,master,wo postmaster,1,4,2,2,10,1,4,1,7,6
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68501,M Leraar Voorbereidend Hoger Onderwijs in Algemene Economie,deeltijd onderwijs,master,wo postmaster,0,0,1,0,0,0,0,0,1,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68501,M Leraar Voorbereidend Hoger Onderwijs in Algemene Economie,voltijd onderwijs,master,wo postmaster,5,0,2,0,0,1,1,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68502,M Leraar Voorbereidend Hoger Onderwijs in Biologie,deeltijd onderwijs,master,wo postmaster,1,1,1,1,1,1,0,0,1,0
