province,municipality_id,municipality_name,institution_type,brin_id,institution_name,croho_section,croho_subsection,degree_course_id,degree_course_name,degree_course_education_type,degree_course_type,year,male,female
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68520,M Leraar Voorbereidend Hoger Onderwijs in Latijnse Taal en Cultuur,voltijd onderwijs,master,2014,0,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68520,M Leraar Voorbereidend Hoger Onderwijs in Latijnse Taal en Cultuur,voltijd onderwijs,master,2015,1,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68520,M Leraar Voorbereidend Hoger Onderwijs in Latijnse Taal en Cultuur,voltijd onderwijs,master,2016,0,1
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68530,M Leraar Voorbereidend Hoger Onderwijs in de Taalvakken,voltijd onderwijs,master,2012,0,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68530,M Leraar Voorbereidend Hoger Onderwijs in de Taalvakken,voltijd onderwijs,master,2013,0,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68530,M Leraar Voorbereidend Hoger Onderwijs in de Taalvakken,voltijd onderwijs,master,2014,0,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68530,M Leraar Voorbereidend Hoger Onderwijs in de Taalvakken,voltijd onderwijs,master,2015,0,0
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,onderwijs,universitaire lerarenopleidingen,68530,M Leraar Voorbereidend Hoger Onderwijs in de Taalvakken,voltijd onderwijs,master,2016,1,3
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,deeltijd onderwijs,bachelor,2012,44,78
Noord-Holland,363,AMSTERDAM,reguliere inst.,21PL,Vrije Universiteit Amsterdam,recht,n.v.t. (recht),50700,B Rechtsgeleerdheid,deeltijd onderwijs,bachelor,2013,35,77
