province,municipality_id,municipality_name,institution_type,brin_id,institution_name,croho_section,croho_subsection,degree_course_id,degree_course_name,degree_course_education_type,degree_course_type,year,registered_male,registered_female,graduated_male,graduated_female
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,2012,22,88,8,40
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,2013,21,100,8,27
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,2014,18,115,8,49
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,2015,20,92,6,39
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,2016,18,76,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,propedeuse bachelor,2012,10,80,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,propedeuse bachelor,2013,8,61,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,propedeuse bachelor,2014,16,34,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,propedeuse bachelor,2015,18,44,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,propedeuse bachelor,2016,15,44,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,2011,,,13,25
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,2012,31,35,18,16
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,2013,23,46,12,17
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,2014,28,67,12,21
